Name,Address,Price,Died
Tamira,"1027 State St, Santa Barbara",< $10,2020-01
Due Lune Ristorante and Bar,"1 State St, Santa Barbara",,2020-01
Sup and Jus,7060 Hollister Ave. Goleta,,2020-01
Khao Kaeng,"1187 Coast Village Rd, Montecito",,2019-12
Bear and Star,"2860 Grand Ave, Los Olivos",,2019-12
Wake Cup,"901 Embarcadero del Mar, Isla Vista",,2019-11
Goodland Market and Kitchen,"231 S. Magnolia Ave, Goleta",,2019-11
Bar 29,"1134 Chapala St, Santa Barbara",,2019-10
Yume Sushi,"428 Chapala St, Santa Barbara",$10 - $20,2019-10
Ca Dario Pizzeria,"29 E. Victoria St, Santa Barbara",$10 - $20,2019-10
Soul Cal Smokehouse,38 West Victoria St. Santa Barbara,,2019-10
The Monarch,"1295 Coast Village Rd, Santa Barbara",,2019-10
Pizza Guru,"3534 State St, Santa Barbara",$10 - $20,2019-10
Stone Age Restaurant,"415 N. Milpas St, Santa Barbara",,2019-10
Sal's Pizza,"900 N. Milpas St, Santa Barbara",< $10,2019-09
Vicenta’s,"6920 Marketplace Dr, Goleta",,2019-09
The Honey B @ Antioch,"602 Anacapa St, Santa Barbara",,2019-09
High Sierra Grill & Bar,"521 Firestone Rd, Goleta",,2019-08
Hoffmann Brat Haus,"801 State St, Santa Barbara",< $10,2019-08
Alito’s,"509 State St, Santa Barbara",,2019-08
Ming Dynasty,"290 Storke Rd, Goleta",$10 - $20,2019-08
Gimeal Café,"5892 Hollister Ave, Goleta",,2019-08
The Little Door,"129 E. Anapamu St, Santa Barbara",,2019-07
Giovanni's - Mesa,"1905 Cliff Dr, Santa Barbara",$10 - $20,2019-07
Sweet Alley,"955 Embarcadero del Mar, Isla Vista",,2019-06
Coffee Bean - Montecito,"1209 Coast Village Rd, Santa Barbara",,2019-05
Goa Taco,"718 State St, Santa Barbara",,2019-05
Senor Frogs,"892 Linden Ave, Carpinteria",< $10,2019-05
Ca’Dario Pasta Veloce,"38 W. Victoria St, Santa Barbara",,2019-05
Smithy,"7 E. Anapamu St., Santa Barbara",,2019-05
Red Pepper Restaurant,"282 Orange Ave, Goleta",< $10,2019-04
Ike's Love & sandwiches,"6530 Seville Rd, Isla Vista",,2019-04
Jersey Mike's Subs - downtown,"1213 State St, Santa Barbara",,2019-04
Green Star Coffee,"38 W. Victoria St, Santa Barbara",,2019-03
La Bella Rosa Bakery - Goleta,"7127 Hollister Ave.#18, Goleta",,2019-03
Kahuna Grill - Goleta,"7010 Camino Real Marketplace, Goleta",< $10,2019-02
Rodney's Grill at the Hilton,"633 E. Cabrillo Blvd, Santa Barbara",$20+,2019-01
Giovanni's - Montecito,"1187 Coast Village Rd, Montecito",$10 - $20,2019-01
Your Cake Baker by Wayne Kjar,"2018 Cliff Dr, Santa Barbara",,2018-12
Spoon,"1222 State St, Santa Barbara",,2018-12
Hanamura,"901 Embarcadero del Mar, Isla Vista",,2018-12
One Piece,"6555 Pardall Rd, Isla Vista",,2018-12
Pacific Crepes,"705 Anacapa St, Santa Barbara",$10 - $20,2018-12
Big Eye Raw Bar,"38 W. Victoria St, Santa Barbara",,2018-12
Sunny Korean Restaurant,"532 State St, Santa Barbara",,2018-11
Wildwood Kitchen,"412 East Haley St, Santa Barbara",,2018-11
Santa Barbara Brewing Company,"501 State St, Santa Barbara",$10 - $20,2018-10
Pizza Mizza,"140 S. Hope Ave, Santa Barbara",$10 - $20,2018-10
Burger Barn,"3621 Sagunto St, Santa Ynez",< $10,2018-10
Basil's,"608 Anacapa St, Santa Barbara",,2018-10
Mundos,"901 N. Milpas St, Santa Barbara",,2018-09
Vons Bakery - Lacumbre Plaza,"3855 State St, Santa Barbara",,2018-09
Vons - Lacumbre Plaza,"3855 State St, Santa Barbara",,2018-09
El Pollo Rico,"5698 Hollister Ave, Goleta",< $10,2018-09
Good Cup - Mesa,"1819 Cliff Dr, Santa Barbara",,2018-09
Sly's,"686 Linden Ave, Carpinteria",$20+,2018-09
Urkeb,"413 State St, Santa Barbara",,2018-09
Pinkberry,"742 State St, Santa Barbara",,2018-09
Flagstone Pantry,"38 W. Victoria St, Santa Barbara",,2018-08
Frankland’s Crab & Co.,"1295 Coast Village Rd, Santa Barbara",,2018-08
Locavore Kitchen,"21 West Victoria St, Santa Barbara",,2018-08
Paesano's Pizzeria,"1429 San Andres St, Santa Barbara",$10 - $20,2018-08
Trattoria Mollie,"1250 Coast Village Rd, Montecito",$20+,2018-08
Miso Hungry,"134 E Canon Perdido St, Santa Barbara,",,2018-08
HiWi Tropical Fusion,"6555 Pardall Rd, Isla Vista",,2018-08
El Pollo Loco - Goleta,"5796 Calle Real, Goleta",< $10,2018-08
Taco Tuyo,"724 E. Haley St, Santa barbara",,2018-07
Grilled Cheese Truck,"956 Embarcadero Del Norte, Isla Vista",,2018-06
Rincon Brewery - Isla Vista,"6583 Pardall Rd, Isla Vista",,2018-06
Nicky D’s Wood-Fired Pizza,"2840 De La Vina St, Santa Barbara",$10 - $20,2018-06
Cadiz,"509 State St, Santa Barbara",$20+,2018-06
Worker Bee Café - Goleta,"5599 Hollister Ave, Goleta",,2018-06
Subway - Mission & State,"1936 State St, Santa Barbara",,2018-05
Chipotle - Downtown,"723 State St, Santa Barbara",< $10,2018-05
Sorriso Italiano,"901 Embarcadero del Mar, Isla Vista",,2018-05
Mattei’s Tavern,"2350 Railway Ave, Los Olivos",$20+,2018-05
Empress Palace,"2251 Las Positas Rd, Santa Barbara",$10 - $20,2018-05
Wildwood Museum Café,"1130 State St, Santa Barbara",,2018-05
Peet's Coffee - 1131 State St,"1131 State St, Santa Barbara",,2018-05
La Arcada Bistro,"1112 State St, Santa Barbara",$10 - $20,2018-03
Max's,"3514 State St, Santa Barbara",,2018-03
Nugget - Santa Barbara,"21 W. Victoria St, Santa Barbara",,2018-03
Vineyard House Restaurant,"3631 Sagunto St, Santa Ynez",$10 - $20,2018-03
Fire & Ice Museum Cafe,"1130 State St, Santa Barbara",,2018-01
805 Kabob,"6578 Trigo Rd, Isla Vista",,2018-01
Pascucci - Goleta,"6920 Marketplace Dr, Goleta",,2018-01
Nectar,"20 E. Cota St, Santa Barbara",,2018-01
XO,"5599 Hollister Ave, Goleta",,2018-01
East Beach Grill,"1118 E. Cabrillo Blvd, Santa Barbara",< $10,2018-01
Our Daily Bread,"2700 De La Vina St, Santa Barbara",< $10,2018-01
Yen Ching Restaurant,"2840 De La Vina St, Santa Barbara",$10 - $20,2018-01
Kaptain's Firehouse BBQ,"6545 Pardall Road, Isla Vista",< $10,2017-12
Dickey’s Barbecue Pit,"7060 Hollister Ave, Goleta",,2017-12
Nugget - Carpinteria,"5096 Carpinteria Ave, Carpinteria",,2017-11
Cantwell's Summerland Market,"2580 Lillie Ave, Summerland",< $10,2017-11
Outback Steakhouse,"5690 Calle Real, Goleta",$10 - $20,2017-11
Eladio's,"1 State St, Santa Barbara",$10 - $20,2017-11
Tupelo Junction Cafe,"1218 State St, Santa Barbara",$10 - $20,2017-11
Taqueria La Colmena,"217 N. Milpas St, Santa Barbara",< $10,2017-10
Somerset,"7 E.Anapamu St, Santa Barbara",$20+,2017-10
Miso Hungry,"3613 State St, Santa Barbara",< $10,2017-10
Oveja Blanca Restaurante,"30 E. Ortega St, Santa Barbara",,2017-09
Barbarians Pizza,"511 State St, Santa Barbara",,2017-08
Papa Johns Pizza,"5756 Calle Real, Goleta",$10 - $20,2017-08
Downey's,"1305 State St, Santa Barbara",$20+,2017-08
The Cantina,"966 Embarcadero Del Mar, Isla Vista",< $10,2017-08
Giovanni's - Isla Vista,"6583 Pardall Rd, Isla Vista",$10 - $20,2017-07
Rebar Coffee,"214 State St, Santa Barbara",,2017-07
Sage & Onion Cafe,"5599 Hollister Ave, Goleta",$10 - $20,2017-07
Burger Bus,Mobile - see web site for locations,< $10,2017-06
Rusty's Pizza - Turnpike,"149 S. Turnpike Rd, Goleta",$10 - $20,2017-06
The Mex Authentic,"413 State St, Santa Barbara",,2017-05
Zizzo’s Coffeehouse & Brew Pub,"7060 Hollister Ave, Goleta",,2017-05
Stacky's Seaside,"2315 Lillie Ave, Summerland",< $10,2017-05
Silvergreens - Downtown,"791 Chapala St, Santa Barbara",< $10,2017-04
Bucatini,"436 State St, Santa Barbara",$10 - $20,2017-04
Mama's Bakery,"5342 Hollister Ave, Goleta",< $10,2017-04
Blush Restaurant and Lounge,"630 State St, Santa Barbara",$20+,2017-04
I'a Fish Market and Café,"38 W. Victoria St, Santa Barbara",,2017-03
18 East,"18 E. Cota St, Santa Barbara",,2017-03
Kol's Cafe,"6533 Trigo Rd, Isla Vista",,2017-03
Santa Ynez Burrito - Isla Vista,"956 Embarcadero Del Norte, Isla Vista",,2017-03
American Ale 02,"214 State St, Santa Barbara",,2017-02
Terraza Café,"3007 De la Vina St, Santa Barbara",,2017-02
Paloma Restaurant and Tequila Bar,"5764 Calle Real, Goleta",,2017-01
Caffe Primo,"516 State St, Santa Barbara",,2017-01
Aldo's Italian Restaurant,"1031 State St, Santa Barbara",$10 - $20,2017-01
American Ale,"14 East Cota St, Santa Barbara",$10 - $20,2017-01
Petros - Los Olivos,"2860 Grand Ave, Los Olivos",$10 - $20,2017-01
OTaco,"6530 Pardall Rd, Isla Vista",,2017-01
Merci To Go,"1024 Coast Village Rd, Montecito",,2017-01
Hungry Cat,"1134 Chapala St, Santa Barbara",$10 - $20,2016-12
Ralphs Bakery - De La Vina,"2840 De La Vina St, Santa Barbara",,2016-11
Ralphs - De La Vina,"2840 De La Vina St, Santa Barbara",< $10,2016-11
Ahi Sushi,"3631 State St, Santa Barbara",$10 - $20,2016-11
Julienne,"138 E. Canon Perdido St, Santa Barbara",$20+,2016-11
Globe,"18 E. Cota St, Santa Barbara",,2016-11
Mac's Fish & Chip Shop,"503 State St, Santa Barbara",< $10,2016-11
Gandolfo’s New York Delicatessen,"718 State St, Santa Barbara",< $10,2016-10
Montecito Cafe,"1295 Coast Village Rd, Montecito",$10 - $20,2016-10
Georgia’s Smokehouse,Mobile - see web site for locations,< $10,2016-09
Relais de Paris,"734 State St, Santa Barbara",,2016-09
Alchemy Spa and Cafe,"430 Chapala St, Santa Barbara",$10 - $20,2016-09
Petrini's - Goleta,"5711 Calle Real, Goleta",$10 - $20,2016-08
Coffee Cat,"1201 Anacapa, Santa Barbara",,2016-08
India House,"418 State St, Santa Barbara",$10 - $20,2016-08
India Club,"5701 Calle Real, Goleta",$10 - $20,2016-07
Cielito,"1114 State St, Santa Barbara",$10 - $20,2016-07
Yankee Noodle,"214 State St, Santa Barbara",,2016-07
Le Petit Bistrot,"532 State St, Santa Barbara",$20+,2016-06
Sam's To U,"5979 Hollister Ave, Goleta",< $10,2016-06
Subway - 3613 State,"3613 State St, Santa Barbara",< $10,2016-05
Cafe Int'L - Goleta,"5664 Calle Real, Goleta",< $10,2016-05
Taqueria El Pastorcito,"2009 De la Vina St, Santa Barbara",,2016-04
Seagrass,"30 E. Ortega St, Santa Barbara",$20+,2016-04
Jimmy John's,"909 Embarcadero del Mar, Isla Vista",,2016-04
Mexican Fresh Taqueria,"315 Meigs Rd, Santa Barbara",< $10,2016-03
Book Ends Cafe,"602 Anacapa St, Santa Barbara",< $10,2016-03
Boondocks,"4444 Hollister Ave, Santa Barbara",,2016-02
Little Caesars - Kmart,"6865 Hollister Ave, Goleta",< $10,2016-02
Tamales-To-Go,"20 East Cota St (in the back), Santa Barbara",,2016-02
416 State,"416 State St, Santa Barbara",,2016-01
Union Ale Brewing Co.,"214 State St, Santa Barbara",$10 - $20,2016-01
Carl's Jr - Upper State,"3925 State St, Santa Barbara",< $10,2016-01
Rusty's Pizza - Fairview,"6025 Calle Real, Goleta",$10 - $20,2016-01
Cielo Bar and Grill,"5096 Carpinteria Ave, Carpinteria",,2016-01
Nuance,"119 State St, Santa Barbara",$20+,2016-01
The Fig Grill,"5940 Calle Real, Goleta",,2016-01
Tacos El Rey,"5 W. Haley St, Santa Barbara",< $10,2016-01
The Bourbon Room,"4444 Hollister Ave, Goleta",,2016-01
Lovin Oven Mediterranean Bakery & Cafe,"6578 Trigo Rd, Isla Vista",,2015-12
Mama Lu,"415 N. Milpas St, Santa Barbara",< $10,2015-12
Marmalade Cafe,"3825 State St, Santa Barbara",$10 - $20,2015-12
Taco Bell - Upper State,"3771 State St, Santa Barbara",< $10,2015-12
Paradise Store & Grill,"1 Paradise Rd, Santa Barbara",< $10,2015-12
El Torito,"29 E. Cabrillo Blvd, Santa Barbara",$10 - $20,2015-11
Kogilicious,"956 Embarcadero Del Norte, Isla Vista",< $10,2015-11
Boochies,"113 W. De la Guerra St, Santa Barbara",,2015-11
Freeman's Flying Chicken,"3400 Calle Real (Earl Warren), gate C",,2015-11
Beach Bowls,"901 Linden Ave, Carpinteria",,2015-11
Haggen - Upper State,"3943 State St, Santa Barbara",,2015-11
Haggen - Mesa,"2010 Cliff Dr, Santa Barbara",,2015-11
Haggen - Carpinteria,"850 Linden Ave, Carpinteria",,2015-11
Haggen - Turnpike,"163 S. Turnpike Rd, Goleta",,2015-11
Haggen - Fairview,"165 N. Fairview Ave, Goleta",,2015-11
Crazy Good Bread,"4191 Carpinteria Ave, Carpinteria",,2015-10
iGrill Korean BBQ,"3132 State St, Santa Barbara",,2015-10
Blue Agave,"20 E. Cota St, Santa Barbara",$10 - $20,2015-10
Palazzio,"1026 State St, Santa Barbara",$10 - $20,2015-10
Fresh & Easy Market - Milpas,"336 N Milpas St, Santa Barbara",,2015-10
Muddy Waters Coffee House,"508 E. Haley St, Santa Barbara",,2015-09
Wings Restaurant,"4427 Hollister Ave, Santa Barbara",< $10,2015-09
Sojourner Cafe,"134 E. Canon Perdido St, Santa Barbara",$10 - $20,2015-09
Las Brasas Mexican Grill,"5915B Calle Real, Goleta",,2015-09
Arch Rock Fish,"608 Anacapa St, Santa Barbara",$20+,2015-09
Crazy Good Bread Co.,"38 W. Victoria St, Santa Barbara",,2015-09
Crushcakes & Cafe - Isla Vista,"6533 Trigo Rd, Isla Vista",,2015-08
Simply Pies,"5392 Hollister Ave, Goleta",< $10,2015-08
Sublime,"901 N. Milpas St, Santa Barbara",$10 - $20,2015-08
Crushcakes & Cafe - Montecito,"1150 Coast Village Rd, Montecito",,2015-08
Taqueria Buen Gusto,"4835 Carpinteria Ave, Carpinteria",< $10,2015-07
Barbecue Company,"3807 Santa Claus Ln, Carpinteria",$10 - $20,2015-07
Boca De Rio,"318 N. Milpas St, Santa Barbara",< $10,2015-07
Panera Bread - Downtown,"700 State St, Santa Barbara",< $10,2015-07
Fresco Cafe North,"5940 Calle Real, Goleta",$10 - $20,2015-07
Cajun Kitchen - Carpinteria,"865 Linden Ave, Carpinteria",< $10,2015-06
Tony's,"699 Linden Ave, Carpinteria",< $10,2015-06
Pasta Shoppe,"38 W. Victoria St, Santa Barbara",,2015-06
Vons Bakery - Turnpike,"163 S. Turnpike Rd, Goleta",,2015-06
Vons Bakery - Carpinteria,"850 Linden Ave, Carpinteria",,2015-06
Vons - Carpinteria,"850 Linden Ave, Carpinteria",,2015-06
Albertsons Bakery - Upper State,"3943 State St, Santa Barbara",,2015-06
Albertsons - Upper State,"3943 State St, Santa Barbara",< $10,2015-06
Albertsons - Mesa,"2010 Cliff Dr, Santa Barbara",< $10,2015-06
Juice Well,"38 W. Victoria St, Santa Barbara",,2015-06
Santa Monica Seafood,"38 W. Victoria St, Santa Barbara",,2015-06
Arlington Tavern,21 W. Victoria St,$20+,2015-05
Nardonnes La Famiglia Pizzeria,"17 W. Ortega St, Santa Barbara",$10 - $20,2015-05
Roll a Lot,"7127 Hollister Ave, Goleta",< $10,2015-05
Yo a Lot,"7127 Hollister Ave, Goleta",,2015-05
Killer B BBQ and Bar,"718 State St, Santa Barbara",$10 - $20,2015-05
Esau's Cafe - Downtown,"721 Chapala St, Santa Barbara",$10 - $20,2015-05
Arts and Letters Cafe,"7 E. Anapamu St, Santa Barbara",$10 - $20,2015-04
Vons Bakery - Fairview,"165 N. Fairview Ave, Goleta",,2015-04
Vons - Fairview,"165 N. Fairview Ave, Goleta",,2015-04
Beachbreak Cafe,"324 State St, Santa Barbara",< $10,2015-03
Hennings Cake Boutique,"28 W. Figueroa St, Santa Barbara",,2015-03
Denny's - Goleta,"5677 Calle Real, Goleta",< $10,2015-03
Steve's Patio Cafe,"3007 De la Vina St, Santa Barbara",< $10,2015-03
Fresh Market,"222 N. Milpas St, Santa Barbara",,2015-03
Los Tarascos - Goleta,"5915B Calle Real, Goleta",< $10,2015-03
Los Aves Cafe,"2220 Bath St, Santa Barbara",,2015-02
Las Aves Cafe,"2220 Bath St, Santa Barbara",$10 - $20,2015-02
Cafe Luna,"2354 Lillie Ave, Summerland",< $10,2015-02
Cabo's Baja Grill & Cantina,"5096 Carpinteria Ave, Carpinteria",< $10,2015-01
Xanadu French Bakery,"1028 Coast Village Rd, Montecito",,2015-01
Gina's Pizza,"7038 Marktplace Dr, Goleta",$10 - $20,2015-01
Domino's - UCSB UCen,At the UCen on the UCSB Campus,< $10,2015-01
El Rincon Bohemio - Goleta,"298 Pine Ave, Goleta",,2015-01
Coffee Bean - Airport Downstairs,"500 Fowler Rd, Santa Barbara",,2014-12
Bay Roadhouse Bar & Grill,"202 State St, Santa Barbara",$10 - $20,2014-12
Miro at the Bacara Resort,"8301 Hollister Ave, Goleta",$20+,2014-12
Deli Express,"7398 Calle Real, Goleta.",,2014-12
Blue Tavern,"119 State St, Santa Barbara",,2014-12
Killer Shrimp,"416 State St, Santa Barbara",$10 - $20,2014-12
Pita Pit,"971 Embarcadero Del Mar, Isla Vista",< $10,2014-12
Pace,"413 State St, Santa Barbara",,2014-11
Firehouse Subs,"6530 Seville Rd, Isla Vista",< $10,2014-11
Tri Tip Company,"214 State St, Santa Barbara",,2014-11
Angry Wings,"6530 Pardall Rd, Isla Vista",< $10,2014-11
Kahuna Grill - Paseo Nuevo,"12 De La Guerra Pl, Santa Barbara",< $10,2014-11
Adama,"428 Chapala St, Santa Barbara",$10 - $20,2014-11
Norton's Pastrami and Deli - Milpas,"226 S. Milpas St, Santa Barbara",,2014-11
Hot Spots,"36 State St, Santa Barbara",,2014-10
Pierre Lafond Wine Bistro,"516 State St, Santa Barbara",< $10,2014-10
Quizno's - University Plaza,"7127 Hollister Ave, Goleta",< $10,2014-10
New Baja Grill,"7024 Camino Real Marketplace, Goleta",< $10,2014-09
Cafe Del Sol,"30 Los Patos Wy, Montecito",$10 - $20,2014-09
Harolds Caribbean Kitchen,"731 De la Guerra Plaza, Santa Barbara",,2014-06
All India Cafe,"431 State St, Santa Barbara",$10 - $20,2014-06
Montecito Confections,"1150 Coast Village Rd, Montecito",,2014-06
Holdren's Grill,"6920 Marketplace Dr, Goleta",$10 - $20,2014-05
Mad Dogs,"505 State St, Santa Barbara",< $10,2014-04
D'Vine Cafe,"205 W. Canon Perdido, Santa Barbara",< $10,2014-04
Smoke N Barrel BBQ Shack,"6920 Marketplace Drive, Goleta",< $10,2014-04
Magic Pita Cafe,"5 W. Haley St, Santa Barbara",< $10,2014-04
Betos Subs,"731 De La Guerra Plaza, Santa Barbara",,2014-03
Bangkok Palace,"2829 De La Vina St, Santa Barbara",< $10,2014-03
The French Table,"129 E. Anapamu St, Santa Barbara",$10 - $20,2014-03
Italian Grocery,"415 E. De la Guerra St, Santa Barbara",< $10,2014-03
Brummis - The German Taste,"3130 State St, Santa Barbara",$10 - $20,2014-03
Sunnyside Market & Deli,436 E. Gutierrez St,< $10,2014-03
YoYumYum - Goleta,"5915A Calle Real, Goleta",,2014-01
The Pan,"18 E. Cota St, Santa Barbara",$10 - $20,2014-01
Rusty's Pizza - Cabrillo,"15 E. Cabrillo Blvd, Santa Barbara",$10 - $20,2014-01
Museum Cafe,"1130 State St, Santa Barbara",$10 - $20,2014-01
Wahoo's Fish Taco,"511 State St, Santa Barbara",< $10,2014-01
Verde,"532 State St, Santa Barbara",,2013-12
Culture Shock,Mobile - see web site for locations,< $10,2013-12
Altamirano's - Milpas,"422 N. Milpas St, Santa Barbara",< $10,2013-11
Las Palmeras,"432 E. Haley St, Santa Barbara",< $10,2013-11
Rudy's - Calle Real,"5764 Calle Real, Goleta",< $10,2013-11
Takenoya,"5934 Calle Real, Goleta",$10 - $20,2013-10
Good Karma Market & Deli,"207 W. Anapamu St, Santa Barbara",< $10,2013-10
Javan's,"938 Embarcadero Del Norte, Isla Vista",< $10,2013-10
Cafe Int'L - Isla Vista,"6578 Trigo Rd, Isla Vista",< $10,2013-10
Maggies,"1201 State St, Santa Barbara",$20+,2013-10
Spice Avenue,"1027 State St, Santa Barbara",< $10,2013-09
Pacific Coast Cafe,"6440 Via Real, Carpinteria",< $10,2013-09
Anchor Woodfire Kitchen,"119 State St, Santa Barbara",,2013-09
Ben & Jerry's Ice Cream,"305 Paseo Nuevo, Santa Barbara",,2013-09
Greek House Cafe,"5 W. Haley St, Santa Barbara",< $10,2013-09
Italia Pizza & Pasta,"149 N. Fairview Ave, Goleta",$10 - $20,2013-09
Quizno's - State St,"1213 State St, Santa Barbara",< $10,2013-09
Sakura Express,"819C State St, Santa Barbara",< $10,2013-09
Hidden Dolphin Cafe,"217 Anacapa St, Santa Barbara",< $10,2013-08
Pastavino,"6920 Marketplace Dr, Goleta",$10 - $20,2013-08
Elephant Bar & Restaurant,"521 Firestone Rd, Goleta",$10 - $20,2013-08
Mediterra Cafe & Market,"5575 Hollister Ave, Goleta",< $10,2013-07
Cinco Estrellas,"316 N. Milpas St (in the back), Santa Barbara",< $10,2013-07
Maria's Bakery,"4912 Carpinteria Ave, Carpinteria",< $10,2013-06
New China,"5764 Hollister Ave, Goleta",< $10,2013-06
Pasta House,"6546 Pardall Rd, Isla Vista",< $10,2013-04
Coast Restaurant & Bar,"31 W. Carrillo St, Santa Barbara",$10 - $20,2013-04
La Carreta Mexican Seafood,"290 Storke Rd, Goleta",< $10,2013-02
Meat n' Potatoes,"4444 Hollister Ave, Goleta",$10 - $20,2013-01
Road Dogs,Mobile - see web site for locations,< $10,2013-01
The New Black BBQ,Mobile - see web site for locations,< $10,2013-01
O Street Truck,Mobile - see web site for locations,< $10,2013-01
Los Gallos,"2009 De La Vina St, Santa Barbara",< $10,2013-01
Wurst,"20 E. Cota St, Santa Barbara",< $10,2012-12
Open Cup,"728 State St, Santa Barbara",,2012-12
Little Cantina,"14 E. Cota St, Santa Barbara",,2012-12
